GeneSet_ID	gene_ID	N	M	n	m	p_value	FDR_q_value
hsa04380	6678	155	6	4	1	0.14742864579077503	0.1781429469971865
hsa04510	6678	155	6	2	2	0.0012568077084206116	0.024298282362798494
hsa04512	6678	155	6	2	1	0.07616254713028907	0.12270632593213239
hsa04540	6678	155	6	3	2	0.0037047076895274232	0.04297460919851811
hsa04610	6678	155	6	2	1	0.07616254713028907	0.12270632593213239
hsa04611	6678	155	6	1	1	0.03870967741935484	0.11225806451612903
hsa04613	6678	155	6	13	1	0.4141393860067002	0.4141393860067002
hsa04630	6678	155	6	3	1	0.11239146685066986	0.1629676269334713
hsa04640	6678	155	6	5	1	0.18130565324279724	0.21031455776164482
hsa04810	6678	155	6	2	2	0.0012568077084206116	0.024298282362798494
hsa04910	6678	155	6	1	1	0.03870967741935484	0.11225806451612903
hsa04919	6678	155	6	3	1	0.11239146685066986	0.1629676269334713
hsa05010	6678	155	6	8	1	0.2762819195972388	0.3023462516347141
hsa05012	6678	155	6	6	1	0.2140534271130853	0.24343330926586174
hsa05014	6678	155	6	4	1	0.14742864579077503	0.1781429469971865
hsa05016	6678	155	6	4	1	0.14742864579077503	0.1781429469971865
hsa05020	6678	155	6	4	1	0.14742864579077503	0.1781429469971865
hsa05022	6678	155	6	7	1	0.24570228239712213	0.2740525457506362
hsa05130	6678	155	6	1	1	0.03870967741935484	0.11225806451612903
hsa05132	6678	155	6	2	1	0.07616254713028907	0.12270632593213239
hsa05160	6678	155	6	12	1	0.38848125692670177	0.39529671757453866
hsa05163	6678	155	6	2	1	0.07616254713028907	0.12270632593213239
hsa05165	6678	155	6	10	2	0.049070456278172345	0.12270632593213239
hsa05168	6678	155	6	9	1	0.30582143308306575	0.3225026021603239
hsa05171	6678	155	6	11	1	0.36189348548873224	0.3748182528276155
hsa05200	6678	155	6	9	1	0.30582143308306575	0.3225026021603239
hsa05205	6678	155	6	1	1	0.03870967741935484	0.11225806451612903
hsa05206	6678	155	6	4	1	0.14742864579077503	0.1781429469971865
hsa05207	6678	155	6	5	1	0.18130565324279724	0.21031455776164482
hsa05208	6678	155	6	4	1	0.14742864579077503	0.1781429469971865
hsa05210	6678	155	6	2	1	0.07616254713028907	0.12270632593213239
hsa05212	6678	155	6	3	1	0.11239146685066986	0.1629676269334713
hsa05213	6678	155	6	1	1	0.03870967741935484	0.11225806451612903
hsa05214	6678	155	6	2	1	0.07616254713028907	0.12270632593213239
hsa05215	6678	155	6	3	1	0.11239146685066986	0.1629676269334713
hsa05218	6678	155	6	2	1	0.07616254713028907	0.12270632593213239
hsa05219	6678	155	6	2	1	0.07616254713028907	0.12270632593213239
hsa05223	6678	155	6	2	1	0.07616254713028907	0.12270632593213239
hsa05224	6678	155	6	2	1	0.07616254713028907	0.12270632593213239
hsa05226	6678	155	6	2	1	0.07616254713028907	0.12270632593213239
hsa05231	6678	155	6	1	1	0.03870967741935484	0.11225806451612903
hsa05235	6678	155	6	4	1	0.14742864579077503	0.1781429469971865
hsa05410	6678	155	6	1	1	0.03870967741935484	0.11225806451612903
hsa05412	6678	155	6	1	1	0.03870967741935484	0.11225806451612903
hsa05414	6678	155	6	1	1	0.03870967741935484	0.11225806451612903
hsa05418	6678	155	6	2	1	0.07616254713028907	0.12270632593213239
hsa04613	8348	155	5	13	5	1.8424487144951863e-06	1.8424487144951863e-06
hsa05034	8348	155	5	8	5	8.016870863382318e-08	3.206748345352927e-07
hsa05203	8348	155	5	13	5	1.8424487144951863e-06	1.8424487144951863e-06
hsa05322	8348	155	5	10	5	3.6075918885220443e-07	7.215183777044089e-07
hsa00601	2529	155	2	1	1	0.012903225806451613	0.03225806451612903
hsa01100	2529	155	2	24	1	0.2865521575198993	0.2865521575198993
hsa04068	2529	155	2	4	1	0.0511101801424382	0.06388772517804775
hsa04071	2529	155	2	1	1	0.012903225806451613	0.03225806451612903
hsa04080	2529	155	2	3	1	0.03845831587767071	0.06388772517804775
hsa01521	2162	155	10	1	1	0.06451612903225806	0.17584460839314076
hsa04010	2162	155	10	2	1	0.12526183493925427	0.1947768350322283
hsa04012	2162	155	10	1	1	0.06451612903225806	0.17584460839314076
hsa04014	2162	155	10	1	1	0.06451612903225806	0.17584460839314076
hsa04015	2162	155	10	2	2	0.0037704231252618354	0.07666527021365732
hsa04020	2162	155	10	2	1	0.12526183493925427	0.1947768350322283
hsa04066	2162	155	10	2	1	0.12526183493925427	0.1947768350322283
hsa04068	2162	155	10	4	1	0.23622148350002134	0.2771059710288712
hsa04072	2162	155	10	1	1	0.06451612903225806	0.17584460839314076
hsa04120	2162	155	10	4	1	0.23622148350002134	0.2771059710288712
hsa04141	2162	155	10	6	1	0.3343493193947207	0.36420193719782074
hsa04145	2162	155	10	5	2	0.033896048665589984	0.17584460839314076
hsa04151	2162	155	10	3	2	0.010916976761379038	0.11098926374068689
hsa04360	2162	155	10	1	1	0.06451612903225806	0.17584460839314076
hsa04380	2162	155	10	4	1	0.23622148350002134	0.2771059710288712
hsa04510	2162	155	10	2	2	0.0037704231252618354	0.07666527021365732
hsa04512	2162	155	10	2	1	0.12526183493925427	0.1947768350322283
hsa04540	2162	155	10	3	2	0.010916976761379038	0.11098926374068689
hsa04610	2162	155	10	2	1	0.12526183493925427	0.1947768350322283
