GeneSet_ID	gene_ID	N	M	n	m	p_value	FDR_q_value
hsa00230	54855	155	25	1	1	0.16129032258064546	0.40322580645161366
hsa00240	54855	155	25	4	1	0.5089120074638899	0.6361400093298623
hsa00260	54855	155	25	1	1	0.16129032258064546	0.40322580645161366
hsa00480	54855	155	25	2	2	0.02513615416841215	0.27649769585253364
hsa00520	54855	155	25	2	1	0.2974444909928774	0.511232718894008
hsa00630	54855	155	25	1	1	0.16129032258064546	0.40322580645161366
hsa00760	54855	155	25	2	1	0.2974444909928774	0.511232718894008
hsa00983	54855	155	25	3	1	0.41224114279142604	0.5668315713382108
hsa01100	54855	155	25	24	5	0.33740495070543747	0.5458021261411489
hsa01200	54855	155	25	1	1	0.16129032258064546	0.40322580645161366
hsa01232	54855	155	25	4	1	0.5089120074638899	0.6361400093298623
hsa01250	54855	155	25	1	1	0.16129032258064546	0.40322580645161366
hsa03030	54855	155	25	4	3	0.013473826017519234	0.2470201436545193
hsa03060	54855	155	25	1	1	0.16129032258064546	0.40322580645161366
hsa03250	54855	155	25	5	1	0.5902179664930467	0.7056953947199471
hsa03410	54855	155	25	1	1	0.16129032258064546	0.40322580645161366
hsa03450	54855	155	25	1	1	0.16129032258064546	0.40322580645161366
hsa04020	54855	155	25	2	1	0.2974444909928774	0.511232718894008
hsa04060	54855	155	25	3	2	0.06785118739577935	0.40322580645161366
hsa04068	54855	155	25	4	1	0.5089120074638899	0.6361400093298623
hsa04110	54855	155	25	14	7	0.001998981174751228	0.10994396461131756
hsa04114	54855	155	25	7	2	0.31473809833009614	0.5245634972168269
hsa04115	54855	155	25	4	2	0.12222854877403978	0.40322580645161366
hsa04141	54855	155	25	6	4	0.006479592927806278	0.17818880551467267
hsa04151	54855	155	25	3	1	0.41224114279142604	0.5668315713382108
hsa04152	54855	155	25	3	1	0.41224114279142604	0.5668315713382108
hsa04218	54855	155	25	7	3	0.0837200391718138	0.40322580645161366
hsa04512	54855	155	25	2	1	0.2974444909928774	0.511232718894008
hsa04640	54855	155	25	5	1	0.5902179664930467	0.7056953947199471
hsa04657	54855	155	25	2	1	0.2974444909928774	0.511232718894008
hsa04659	54855	155	25	2	1	0.2974444909928774	0.511232718894008
hsa04672	54855	155	25	2	2	0.02513615416841215	0.27649769585253364
hsa04914	54855	155	25	7	3	0.0837200391718138	0.40322580645161366
hsa04915	54855	155	25	1	1	0.16129032258064546	0.40322580645161366
hsa04918	54855	155	25	1	1	0.16129032258064546	0.40322580645161366
hsa04921	54855	155	25	1	1	0.16129032258064546	0.40322580645161366
hsa04970	54855	155	25	2	1	0.2974444909928774	0.511232718894008
hsa04972	54855	155	25	1	1	0.16129032258064546	0.40322580645161366
hsa05012	54855	155	25	6	1	0.6585149720775402	0.7706026268992492
hsa05022	54855	155	25	7	1	0.7158111177021143	0.7873922294723257
hsa05132	54855	155	25	2	1	0.2974444909928774	0.511232718894008
