gene1	gene2	correlation
351	6773	0.383388
351	6782	0.747344
351	6868	0.702471
351	6923	-0.517873
351	6941	0.405709
351	6947	0.24606
351	7083	-0.029339
351	7153	0.591825
351	7184	0.486895
351	7298	0.329971
351	7345	0.242702
351	8318	0.286388
351	8339	0.520768
351	8343	0.544897
351	8345	0.432513
351	8347	0.490195
351	8348	0.408765
351	8365	0.464639
351	8460	0.120972
351	8638	0.230694
351	8698	-0.661704
351	8809	0.247969
351	8819	0.13837
351	8836	0.365848
351	8876	0.35311
351	8900	0.008665
351	8916	0.792931
351	8926	0.728612
351	8970	0.560305
351	9055	0.526945
351	9133	0.257978
351	9212	-0.002504
351	9232	0.079656
351	9334	0.614368
351	9381	0.073752
351	9582	0.232433
351	9663	0.699892
351	9697	0.679328
351	9768	0.23316
351	9787	0.393868
351	10024	0.062871
351	10321	0.23569
351	10346	0.544992
351	10384	0.445431
351	10403	0.455596
351	10561	0.245454
351	10562	0.15887
351	10615	0.513423
351	10964	0.264823
351	11004	0.299769
351	11065	0.396203
351	11119	0.55678
351	11130	0.359137
351	11274	0.231947
351	22885	0.679289
351	22895	0.238286
351	22936	0.613507
351	22974	0.426402
351	23231	0.601003
351	23347	0.702552
351	23389	0.812901
351	23495	0.067855
351	23531	0.753748
351	23586	0.383434
351	24138	0.371306
351	25832	0.784468
351	28834	0.008627
351	29028	0.756932
351	29089	0.11079
351	29126	0.249565
351	29952	-0.293813
351	51053	0.244766
351	51191	0.195964
351	51203	0.587982
351	51237	0.047122
351	51303	0.226432
351	51439	0.652811
351	51513	-0.039368
351	51659	0.077168
351	51673	-0.068478
351	54407	0.653883
351	54464	0.691078
351	54625	0.477435
351	54739	0.306307
351	54809	0.601843
351	54855	0.42654
351	54877	0.563294
351	54900	0.601223
351	54979	0.109697
351	55008	0.217913
351	55165	0.524896
351	55196	0.706121
351	55350	0.367909
351	55355	0.432012
351	55454	0.628174
351	55507	0.255855
351	55601	0.382145
351	55789	0.480469
351	55790	0.469366
351	57162	0.666268
351	57674	0.571684
351	64105	0.566232
351	64108	0.134801
351	64135	0.386477
351	64151	0.401178
351	64407	0.62181
351	65244	0.494282
351	79056	0.530788
351	79598	0.60234
351	79682	0.463202
351	79801	0.524675
351	79971	0.432325
351	80267	0.787163
351	80315	0.705228
351	80830	0.455123
351	81027	0.876082
351	81030	0.29438
351	81567	0.388315
351	81618	0.16389
351	83540	0.386378
351	83666	0.513073
351	84057	0.155751
351	84174	0.623376
351	84333	0.696598
351	85363	0.535194
351	90355	0.200124
351	90701	0.209922
351	91319	0.046643
351	91543	0.16227
351	92906	0.756816
351	93100	-0.425104
351	94240	0.311883
351	113130	0.240216
351	114908	0.591247
351	115361	0.377982
351	115362	0.369834
351	116071	0.055089
351	120892	0.736928
351	122509	-0.028265
351	129607	0.289796
351	130589	0.319556
351	135112	0.49111
351	140609	0.699572
351	147339	0.596656
351	147807	-0.514565
351	151636	0.494343
351	153222	0.623813
351	162394	0.464247
351	219285	0.51552
351	219537	0.271507
351	219988	0.767891
351	254225	0.812058
351	257019	0.514683
351	348262	-0.540479
351	374291	-0.466485
351	375298	-0.670134
351	387882	0.558001
351	440068	0.297088
351	441864	0.173891
351	444882	0.785279
351	445815	0.662281
351	494143	0.425574
351	728358	0.014595
351	100132406	0.788381
351	100133941	0.16462
351	100169751	-0.239716
351	100169753	-0.239716
351	100169754	-0.239716
351	100169755	-0.239716
351	100169756	-0.239716
351	100169757	-0.239716
351	100169758	-0.239716
351	100169759	-0.239716
351	100169760	-0.108657
351	100169761	-0.239716
351	100169762	-0.239716
351	100169763	-0.239716
351	100169764	-0.239716
351	100169765	-0.239716
351	100169766	-0.239716
351	100169767	-0.239716
351	100169768	-0.239716
351	100423062	0.073263
351	100820829	0.483723
351	100913187	0.634376
351	101060226	0.776354
351	109864272	-0.246349
513	513	1.0
513	608	0.094329
513	671	-0.158344
513	699	-0.116428
513	706	0.602129
513	710	0.080506
513	734	-0.614236
513	820	0.188644
513	890	-0.118839
513	891	0.065291
513	924	0.881363
513	932	-0.118994
513	952	0.057867
513	983	-0.137536
513	990	-0.068532
513	991	0.257114
513	1033	-0.057895
513	1088	-0.158404
513	1118	-0.008873
513	1397	0.683434
513	1511	0.055722
513	1667	-0.000641
513	1668	0.185097
513	1669	0.010177
513	1718	0.051868
513	1719	-0.326956
513	1869	0.088422
513	1950	-0.386513
513	1955	-0.706302
513	1997	-0.609251
513	2162	-0.391025
513	2215	-0.497868
513	2237	0.317431
513	2529	0.548885
513	2537	0.182353
513	2633	-0.247484
513	2635	-0.211305
513	2731	0.015508
513	3017	-0.22445
513	3039	0.48569
513	3040	0.551445
513	3043	0.170951
513	3161	-0.208624
513	3429	0.305005
513	3433	-0.285038
513	3434	-0.077584
513	3437	-0.142874
513	3493	0.328139
513	3494	0.405478
513	3500	0.104863
513	3501	0.199914
513	3502	0.236592
513	3503	0.217489
513	3507	0.369035
513	3512	-0.058582
513	3514	0.12156
513	3537	0.197258
513	3538	0.178991
513	3539	0.233628
513	3656	-0.470098
513	3662	0.089343
513	3690	-0.325941
513	3832	-0.150755
513	3833	0.21748
513	3925	0.248741
513	3934	-0.006114
513	3998	-0.073634
513	4051	-0.390129
513	4057	-0.038277
513	4061	0.399731
513	4171	0.328352
513	4173	0.030969
513	4175	-0.060608
513	4288	-0.019039
513	4311	-0.374478
513	4317	-0.406065
513	4353	0.017356
513	4599	0.008331
513	4605	0.292991
513	4680	-0.230501
513	4713	0.954203
513	4938	-0.009384
513	4939	-0.034345
513	4940	-0.134377
513	4973	-0.186512
513	5273	-0.326193
513	5414	-0.068367
513	5450	0.089209
513	5577	-0.452787
513	5610	-0.455446
513	5806	-0.34792
513	6035	0.04181
513	6036	-0.059097
513	6037	0.024642
513	6241	-0.059314
513	6319	-0.191432
513	6518	0.10079
513	6614	0.182041
513	6675	-0.059679
513	6678	-0.22489
513	6772	-0.348967
513	6773	-0.097696
513	6782	-0.35951
513	6868	-0.698366
513	6923	0.925474
513	6941	0.170782
513	6947	-0.252418
513	7083	0.503171
513	7153	-0.23619
513	7184	-0.000497
513	7298	0.035176
513	7345	-0.003513
513	8318	0.172867
513	8339	-0.157217
513	8343	-0.349664
513	8345	0.055045
513	8347	-0.350349
513	8348	-0.042753
513	8365	-0.113414
513	8460	-0.363661
513	8638	-0.093912
513	8698	0.699051
513	8809	-0.509525
513	8819	-0.269092
513	8836	-0.245587
513	8876	-0.682402
513	8900	-0.273986
513	8916	-0.666776
513	8926	-0.178009
513	8970	-0.095416
513	9055	-0.192952
513	9133	-0.012776
513	9212	0.388555
513	9232	0.211329
513	9334	-0.763221
513	9381	0.067797
513	9582	-0.19422
513	9663	-0.514239
513	9697	-0.124653
513	9768	0.027851
513	9787	-0.129089
513	10024	0.189771
513	10321	-0.150943
513	10346	-0.542035
513	10384	-0.008188
513	10403	-0.035626
513	10561	-0.081731
513	10562	-0.20591
513	10615	-0.061163
513	10964	-0.082098
513	11004	0.087243
513	11065	-0.167766
513	11119	-0.179842
513	11130	0.0574
513	11274	0.047073
513	22885	-0.25723
513	22895	-0.257206
513	22936	-0.369627
513	22974	-0.030202
513	23231	-0.17871
513	23347	-0.587281
513	23389	-0.626997
513	23495	0.293983
513	23531	-0.308639
513	23586	-0.314067
513	24138	-0.290674
513	25832	-0.547498
513	28834	0.340584
513	29028	-0.257953
513	29089	0.19364
513	29126	-0.491934
513	29952	0.933303
513	51053	0.175263
513	51191	-0.101914
513	51203	-0.182088
513	51237	0.300253
513	51303	0.304657
513	51439	-0.641142
513	51513	0.129885
513	51659	0.275116
513	51673	0.464087
513	54407	-0.704953
513	54464	-0.573322
513	54625	-0.280781
513	54739	-0.074188
513	54809	-0.448419
513	54855	-0.078691
513	54877	-0.346962
513	54900	-0.043072
513	54979	0.232507
513	55008	0.031709
513	55165	-0.21705
513	55196	-0.642377
513	55350	-0.335484
513	55355	-0.047032
513	55454	-0.688563
513	55507	0.120025
513	55601	-0.247644
513	55789	-0.155922
513	55790	-0.525345
513	57162	-0.671824
513	57674	-0.277351
513	64105	-0.173211
513	64108	-0.003666
513	64135	-0.19571
513	64151	-0.069358
513	64407	-0.70324
513	65244	0.034714
513	79056	-0.547845
513	79598	-0.53436
513	79682	-0.153046
513	79801	-0.171418
513	79971	-0.303877
513	80267	-0.604692
513	80315	-0.770955
513	80830	-0.301481
513	81027	-0.437098
513	81030	0.002493
513	81567	0.000631
513	81618	0.320455
513	83540	-0.123265
513	83666	-0.50626
513	84057	0.103465
513	84174	-0.027651
513	84333	-0.37596
513	85363	-0.331811
513	90355	-0.386914
513	90701	0.254907
513	91319	0.397043
513	91543	-0.076686
513	92906	-0.592523
513	93100	0.826061
513	94240	-0.194437
513	113130	0.20401
513	114908	-0.339663
513	115361	-0.111409
513	115362	-0.258813
513	116071	-0.013994
513	120892	-0.695635
513	122509	0.526366
513	129607	-0.157072
513	130589	-0.0167
513	135112	-0.302932
513	140609	-0.715827
513	147339	-0.645234
513	147807	0.914021
513	151636	-0.342679
513	153222	-0.659312
513	162394	-0.106622
513	219285	-0.38483
513	219537	-0.1523
513	219988	-0.562958
513	254225	-0.603978
513	257019	-0.220112
513	348262	0.943482
513	374291	0.964786
513	375298	0.635706
513	387882	-0.041838
513	440068	-0.352056
513	441864	-0.104825
513	444882	-0.549374
513	445815	-0.105504
513	494143	-0.069064
513	728358	0.0796
513	100132406	-0.578372
513	100133941	-0.181863
513	100169751	0.22808
513	100169753	0.22808
513	100169754	0.22808
513	100169755	0.22808
513	100169756	0.22808
513	100169757	0.22808
513	100169758	0.22808
513	100169759	0.22808
513	100169760	0.061269
513	100169761	0.22808
513	100169762	0.22808
513	100169763	0.22808
513	100169764	0.22808
513	100169765	0.22808
513	100169766	0.22808
513	100169767	0.22808
513	100169768	0.22808
513	100423062	0.232428
513	100820829	-0.10823
513	100913187	-0.482772
513	101060226	-0.487322
513	109864272	0.582373
608	608	1.0
608	671	-0.030821
608	699	0.786079
608	706	-0.074675
608	710	-0.036553
608	734	0.079704
608	820	-0.012961
608	890	0.614869
608	891	0.699344
608	924	0.097715
